context_id	word	gold_sense_id	predict_sense_id	positions	context
1	замок	1	1	0-5, 339-344	замок владимира мономаха в любече . многочисленные укрепленные монастыри также не являлись замками как таковыми — это были крепости . ранние европейские замки строились преимущественно из дерева они опоясывались деревянной оградой — палисадом уже тогда вокруг замков стали появляться рвы . примером такого замка может служить вышгородский замок киевских князей . каменное замковое строительство распространилось в западной и центральной европе лишь к xii веку . главной частью средневекового замка являлась центральная башня — донжон , выполнявшая функции цитадели . помимо своих оборонительных функций , донжон являлся непосредственным жилищем феодала . также в главной башне
2	замок	1	1	11-16, 17-22, 188-193	шильонский замок замок шильйон ( ) , известный в русскоязычной литературе как шильо́нский за́мок , расположен на швейцарской ривьере , у кромки женевского озера , в  км от города монтре . замок представляет собой комплекс из элементов разного времени постройки .
3	замок	1	1	299-304	проведения архитектурно - археологических работ эстонским реставрационным управлением под руководством архитектора х .  и .  потти , искусствоведа е .  а .  кальюнди и при научной консультации доктора исторических наук п .  а .  рапопорта . с года музей называется государственным музеем выборгский замок .
4	замок	1	1	111-116	топи с . , л . белокуров легенда о завещании мавра с . , н . юсупов день рождения с . , р . янушкевич янтарный замок с . .
5	замок	1	1	134-139, 262-267	"великий князь литовский гедимин после успешной охоты обнаружил прекрасное место недалеко от города кернаве , решил воздвигнуть на нем замок и перенести сюда столицу . во второй половине xiv века здесь , в старых троках ( "" сянейи тракай "" ) , уже стоял каменный замок . правил им в — сын гедимина трокский князь кейстут . около года в этом замке родился витовт . в году кейстут перенес свою столицу из старых трок"
6	замок	1	1	42-47, 281-286	его без боя . в начале xviii века высокий замок захватили и сильно разрушили шведские войска под командованием карла xii . после этого крепость потеряла стратегическое значение . со второй половины xviii в . башни и стены постепенно разбирают на строительный материал . в xix веке замок был разобран . возвышенность укрепили , насадили на склонах деревья , в организовали парк . от старого замка сохранился лишь фрагмент южной каменной стены с бойницами , ограждавшей въезд на территорию замка . памятники градостроительства и архитектуры украинской сср .
7	замок	1	3	260-265, 495-500	, колодец , хозяйственные помещения ( склады продовольствия и др . ) . часто в донжоне располагался крупный парадный зал для приемов . элементы донжона можно найти в замковой архитектуре западной и центральной европы , кавказа , средней азии и т .  п . обычно замок имел небольшой внутренний двор , который окружали массивные зубчатые стены с башнями и хорошо укрепленными воротами . далее следовал внешний двор , включавший в себя хозяйственные постройки , а также замковые сад и огород . весь замок был окружен вторым рядом стен и рвом , через который
8	замок	1	1	197-202, 205-210, 415-420	— сын гедимина трокский князь кейстут . около года в этом замке родился витовт . в году кейстут перенес свою столицу из старых трок в защищенные озером новые троки , где был построен полуостровной замок . замок в старых троках в году был разрушен и больше не восстанавливался . участок земли с остатками замка витовт в году подарил монахам бенедиктинцам . монастырь стоит на старом замчище . трокский полуостровной замок
9	замок	1	1	28-33, 196-201, 257-262, 417-422	одним из кэмпбеллов — отдал замок в обмен на восьмивесельную лодку - верейку . сталкер вернулся к стюартам только в  г . , но после поражения в битве при данкелде , сюартов обязали вновь передать замок кэмпбеллам . стюарты отказались , и кэмпбеллы осаждали замок в течение нескольких месяцев , пока наконец не захватили его . кэмпбеллы жили в замке примерно до  г . , потом перебрались с острова на большую землю , а замок использовали как склад , пока в  г .
10	замок	1	1	0-5, 14-19, 175-180	замок сталкер замок был построен в  г . и первоначально представлял собой небольшое укрепление , принадлежащее клану макдугалов . в  г . право владения на эти земли , включая замок , перешло к стюартам . считается , что сэр джон
11	замок	1	3	0-5, 16-21, 179-184, 291-296, 468-473	замок данноттар замок данноттар ( ) расположен на восточном побережье шотландии в двух милях к югу от стонхейвена и в милях от абердина . ранняя история . утес , на котором стоит замок , словно специально был создан для того , чтобы данноттар стал самой неприступной крепостью шотландии . в замок можно было попасть всего двумя способами через хорошо укрытый в расселине скалы главный вход либо по узкой крутой тропинке , которая вела через пещеры к потайному входу в замок
12	замок	1	1	0-5, 176-181, 292-297	замок был выстроен из дерева на месте прусского городища тувангсте и на протяжении всего xiii века неоднократно подвергался нападениям восставших пруссов и литовских отрядов . замок был основан в январе года как деревянное строение , двумя годами позже началось возведение кирпичного замка . замок служил резиденцией маршалов тевтонского ордена и был центром сбора рыцарских походов в великое княжество литовское в xiv веке . с по год в замке находилась резиденция великого магистра ордена . строительство продолжилось в xiv веке .
13	замок	1	1	14-19, 22-27, 232-237	полуостровной замок . замок в старых троках в году был разрушен и больше не восстанавливался . участок земли с остатками замка витовт в году подарил монахам бенедиктинцам . монастырь стоит на старом замчище . трокский полуостровной замок был построен кейстутом в - е годы на берегу озера гальве ( или трокского озера ) . он был разрушен во время междоусобиц — годов и вновь отстроен лишь в конце правления витовта
14	замок	1	1	252-257	башня эта долгое время считалась самым высоким донжоном скандинавии . толщина крепостных стен составляла , — метра , а толщина стен башни — м . сверху стены завершались зубцами , а по периметру шла навесная деревянная галерея , боевой ход . выборгский замок стал центром выборгского лена , надежным форпостом распространения шведского влияния на земли карельского перешейка , оставаясь неприступным вплоть до года . новгородская республика не желала мириться с потерей карельских земель , и уже в году дружина новгорода великого
15	замок	1	3	11-16, 17-22, 188-193, 274-279	шильонский замок замок шильйон ( ) , известный в русскоязычной литературе как шильо́нский за́мок , расположен на швейцарской ривьере , у кромки женевского озера , в  км от города монтре . замок представляет собой комплекс из элементов разного времени постройки . шильонский замок стоит на скале , незначительно возвышающейся над поверхностью озера , и соединен с берегом мостом . сочетание природных условий и особенностей постройки позволяли замку контролировать стратегически важную дорогу , пролегавшую между озером и
16	замок	1	3	94-99, 226-231	, каменной стеной с башнями и бастионами , земляным валом и рвом , наполненным водой . старый замок постепенно превратился в тыловую позицию крепости . . новый этап серьезных строительных работ начался после того , как в году замок посетил шведский король густав ваза . башни и здания вновь перестраиваются . береговая линия дополнительно укрепляется деревянными шканцами и больверками . в году главная башня надстраивается до этажей , причем верхняя часть получила восьмигранную форму с прорезанными в трехметровых
17	замок	1	1	124-129, 233-238	г . шотландский король яков vi взошел на английский трон и после столетий войн на границе наступил мир . к концу xviii века замок стал популярной туристической достопримечательностью , а в г . был передан под государственную опеку . замок открыт на протяжении всего года . с апреля по сентябрь — ежедневно с . по . . с октября по март — ежедневно с . по .
